Date,Open,High,Low,Close,Volume,WillR%,RSI,MOM,Hist,Signal,MACD,CLASS LABEL
6/29/2018,186.29,187.19,182.91,185.11,22737666,-63.9506,46.0404,-3.73,-0.8205,0.3469,-0.4736,0
6/28/2018,184.1,186.21,183.8,185.5,17365235,-60.7407,47.0709,-5.3,-0.973,0.552,-0.421,1
6/27/2018,185.2278,187.28,184.03,184.16,25285328,-71.7695,43.0007,-6.54,-1.1827,0.7952,-0.3875,0
6/26/2018,182.99,186.53,182.54,184.43,24569201,-72.5316,43.6284,-7.85,-1.2936,1.0909,-0.2026,1
6/25/2018,183.4,184.92,180.73,182.17,31663096,-89.3096,36.4138,-9.06,-1.4056,1.4143,0.0088,0
6/22/2018,186.12,186.15,184.7,184.92,27200447,-86.3256,42.5697,-6.78,-1.2571,1.7657,0.5086,0
6/21/2018,187.25,188.35,184.94,185.46,25711898,-81.3023,43.9237,-8,-1.2209,2.08,0.8591,0
6/20/2018,186.35,187.2,185.73,186.5,20628701,-71.6279,46.5727,-7.48,-1.1461,2.3852,1.2391,1
6/19/2018,185.14,186.33,183.45,185.69,33578455,-79.1628,44.1361,-7.62,-1.0716,2.6717,1.6001,0
6/18/2018,187.88,189.22,187.2,188.74,18484865,-67.7419,52.5092,-3.09,-0.8195,2.9396,2.1201,0
6/15/2018,190.03,190.16,188.26,188.84,61719160,-66.5012,52.8142,-1.4,-0.7021,3.1445,2.4424,0
6/14/2018,191.55,191.57,190.22,190.8,21610074,-42.1836,59.0585,3.93,-0.5119,3.3201,2.8081,1
6/13/2018,192.42,192.88,190.44,190.7,21638393,-43.4243,58.8279,3.2,-0.4135,3.448,3.0345,0
6/12/2018,191.385,192.611,191.15,192.28,16911141,-22.7488,64.1275,4.38,-0.2619,3.5514,3.2895,1
6/11/2018,191.35,191.97,190.21,191.23,18308460,-35.1896,62.0159,2.65,-0.2107,3.6169,3.4062,0
6/8/2018,191.17,192,189.77,191.7,26656799,-29.6209,63.5712,3.55,-0.057,3.6696,3.6125,0
6/7/2018,194.14,194.2,192.335,193.46,21347180,-8.7678,69.6448,5.1,0.0917,3.6838,3.7755,0
6/6/2018,193.63,194.08,191.92,193.98,20933619,-1.2019,71.5195,6.82,0.0884,3.6609,3.7494,1
6/5/2018,193.065,193.94,192.36,193.31,21565963,-7.7017,70.5718,5.68,-0.0303,3.6388,3.6085,1
6/4/2018,191.635,193.42,191.35,191.83,26266174,-19.1106,68.416,5.52,-0.2018,3.6464,3.4445,1
6/1/2018,187.9912,190.26,187.75,190.24,23442510,-0.3876,65.9259,3.25,-0.3611,3.6968,3.3358,1
5/31/2018,187.22,188.23,186.14,186.87,27482793,-64.3145,59.6678,-1.31,-0.4767,3.7871,3.3104,0
5/30/2018,187.72,188,186.78,187.5,18690547,-54.4592,61.6328,1.06,-0.3334,3.9063,3.5729,0
5/29/2018,187.6,188.75,186.87,187.9,22514075,-46.8691,62.8531,-0.25,-0.1978,3.9896,3.7918,0
5/25/2018,188.23,189.65,187.65,188.58,17460963,-26.6965,64.881,-0.01,-0.0637,4.0391,3.9754,1
5/24/2018,188.77,188.84,186.21,188.15,23233975,-33.1096,64.2029,-1.89,0.0276,4.055,4.0826,0
5/23/2018,186.35,188.5,185.76,188.36,20058415,-16.4754,64.7701,1,0.1558,4.0481,4.2039,1
5/22/2018,188.375,188.88,186.78,187.16,15240704,-20.1521,63.0373,1.11,0.267,4.0092,4.2762,0
5/21/2018,188,189.27,186.9106,187.63,18400787,-16.5359,64.1855,2.47,0.486,3.9424,4.4284,1
5/18/2018,187.19,187.8102,186.13,186.31,18297728,-16.1753,62.3995,2.48,0.6896,3.8209,4.5105,0
5/17/2018,188,188.91,186.36,186.99,17294029,-11.8472,63.9244,10.1,1.0355,3.6485,4.684,0
5/16/2018,186.07,188.46,186,188.18,19183064,-7.3638,66.5678,11.61,1.3784,3.3897,4.7681,1
5/15/2018,186.78,187.07,185.1,186.44,23695159,-13.2145,64.579,17.34,1.6398,3.0451,4.6849,0
5/14/2018,189.01,189.53,187.86,188.15,20778772,-7.4647,68.2859,22.89,2.0526,2.6351,4.6877,0
5/11/2018,189.49,190.06,187.45,188.59,26212221,-5.9852,69.2355,26.27,2.3271,2.122,4.449,0
5/10/2018,187.74,190.37,187.65,190.04,27989289,-1.1096,72.3125,25.82,2.4947,1.5402,4.0349,1
5/9/2018,186.55,187.4,185.22,187.36,23211241,-1.1464,70.0262,23.71,2.3835,0.9165,3.3,1
5/8/2018,184.99,186.22,183.665,186.05,28402777,-5.9911,68.8591,23.11,2.2662,0.3206,2.5868,1
5/7/2018,185.18,187.67,184.75,185.16,42451423,-9.2825,68.0749,19.92,2.0182,-0.2459,1.7723,1
5/4/2018,178.25,184.25,178.17,183.83,56201317,-1.7782,66.9188,18.11,1.548,-0.7505,0.7976,1
5/3/2018,175.88,177.5,174.4411,176.89,34068180,-11.1791,59.8794,4.09,0.8147,-1.1375,-0.3228,1
5/2/2018,175.225,177.75,173.8,176.57,66539371,-12.9271,59.5105,-1.27,0.2998,-1.3412,-1.0414,1
5/1/2018,166.4102,169.2,165.27,169.1,53569376,-53.7323,49.432,-9.14,-0.4948,-1.4161,-1.9109,1
4/30/2018,162.1302,167.26,161.84,165.26,42427424,-74.7084,42.6135,-10.56,-0.9399,-1.2924,-2.2323,1
4/27/2018,164,164.33,160.63,162.32,35655839,-90.7683,36.529,-12.41,-1.1617,-1.0574,-2.2191,0
4/26/2018,164.12,165.73,163.37,164.22,27963014,-83.0671,39.0111,-9.92,-1.1036,-0.767,-1.8706,1
4/25/2018,162.62,165.42,162.41,163.65,28382084,-86.2845,37.8344,-8.79,-1.101,-0.4911,-1.5921,1
4/24/2018,165.67,166.33,161.2201,162.94,33692017,-90.292,36.4155,-10.31,-0.9395,-0.2159,-1.1554,0
4/23/2018,166.8348,166.92,164.09,165.24,36515477,-92.2541,39.1001,-4.81,-0.5279,0.019,-0.5089,0
4/20/2018,170.595,171.2184,165.43,165.72,65491140,-93.294,39.6668,-2.66,-0.0614,0.151,0.0895,0
4/19/2018,174.95,175.39,172.66,172.8,34808800,-42.4187,49.4913,0,0.6368,0.1663,0.8031,0
4/18/2018,177.81,178.82,176.88,177.84,20754538,-7.5796,59.1801,6.23,0.9742,0.0071,0.9813,0
4/17/2018,176.49,178.9365,176.41,178.24,26605442,-4.8146,60.0464,9.85,0.9179,-0.2365,0.6814,1
4/16/2018,175.0301,176.19,174.8301,175.82,21578420,-3.157,56.4663,9.14,0.7138,-0.4659,0.2479,1
4/13/2018,174.78,175.84,173.85,174.73,25124255,-9.7625,54.7713,6.95,0.5818,-0.6444,-0.0625,1
4/12/2018,173.41,175,173.04,174.14,22889285,-9.4569,53.8685,7.66,0.4429,-0.7898,-0.3469,1
4/11/2018,172.23,173.9232,171.7,172.44,22431640,-25.3745,51.2658,4.1,0.2558,-0.9006,-0.6448,0
