,index,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
100,4273.0,21.03,22.55,21.0,22.54,8401900.0,0.1593,-0.0648,0.2241,50.8915,-60.0939,17.1582,-1.21
101,718.0,112.17,113.31,111.54,113.29,53164407.0,-3.3598,0.14800000000000002,-3.5077,46.4529,-18.6784,43.9635,-2.67
102,89.0,179.26,180.615,178.05,178.12,33604574.0,2.1114,1.7846,0.3269,62.8092,-8.214,21.5287,13.78
103,163.0,175.11,176.095,173.14,175.88,28636531.0,4.9076,1.5277,3.3799,77.0776,-1.7167,29.3982,18.47
104,2942.0,81.9,82.6,81.13,82.19,15455600.0,2.2313,0.5848,1.6465,71.6997,-4.1,32.7709,6.93
105,790.0,128.38,130.72,128.36,130.19,50882918.0,0.3883,0.1692,0.2191,57.7164,-17.0109,11.6857,1.49
106,2884.0,85.73,87.51,85.51,85.7,43122300.0,0.8878,-0.4683,1.3561,44.4401,-76.1006,26.0796,0.23
107,669.0,121.11,121.81,120.62,121.06,33042283.0,2.4297,0.5889,1.8408,61.6349,-21.2308,25.3725,1.98
108,1959.0,286.33,292.76,286.0,288.92,28075600.0,8.9003,3.0588,5.8414,80.5512,-10.0366,32.6675,25.85
109,1273.0,431.44,435.7,430.3615,432.0,9264800.0,-1.7443,-1.9639,0.2196,43.3079,-87.7622,14.4525,-18.72
110,4151.0,22.8,22.93,21.28,21.65,5854200.0,0.5426,-0.0334,0.5760000000000001,49.213,-66.5722,33.0428,0.29
111,964.0,99.3,99.31,98.05,98.36,46277800.0,-2.9116,1.2837,-4.1953,34.7844,-90.4202,39.8609,-2.96
112,2401.0,90.13,90.94,88.8,90.0,28640000.0,-1.2990000000000002,-0.1865,-1.1125,44.4834,-79.5322,17.32,-4.0
113,158.0,171.18,171.87,170.3,171.1,23497326.0,3.7671,-0.2219,3.989,59.8773,-41.0543,27.8257,2.99
114,1277.0,435.74,442.7599,433.32,437.6,10218300.0,0.7403,-1.3634,2.1037,46.2381,-80.148,13.2414,-3.839
115,2040.0,259.3881,259.4,253.35,256.88,29129100.0,-0.0654,-0.4523,0.3869,55.3562,-24.1308,30.669,3.06
116,3057.0,67.37,68.38,67.12,67.79,18899200.0,0.7395,-0.3739,1.1133,47.3083,-81.2162,26.185,-1.81
