,1. open,2. high,3. low,4. close,5. adjusted close,8. split coefficient,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM,Labels,Price Diffs,Price Diff Labels
888,107.2,108.2,106.695,107.75,101.1943,1.0,-0.6677,-1.0487,-0.381,41.1443,-69.2308,26.7567,-5.19,0,-1.65,3
889,106.54,107.43,104.63,106.26,99.795,1.0,-0.7096,-0.9237,-0.2141,36.1175,-83.925,25.9905,-5.52,1,0.53,5
890,108.29,108.65,105.41,106.25,99.7856,1.0,-0.5623,-0.599,-0.0367,36.0834,-91.0256,24.6735,-6.4,1,3.33,6
891,111.39,111.44,107.35,109.33,102.6782,1.0,-0.2788,-0.1749,0.1039,42.5669,-63.9248,23.4566,-0.08,1,0.84,5
892,112.82,113.13,110.21,110.38,103.6643,1.0,-0.1182,0.0554,0.1736,45.13399999999999,-51.5864,22.6904,3.635,0,-1.06,3
893,113.64,113.92,112.11,112.52,105.6741,1.0,0.0385,0.2416,0.2031,50.9492,-27.1246,22.8612,4.295,0,-0.48,4
894,113.79,114.77,113.7,113.91,106.9795,1.0,0.0644,0.2579,0.1935,55.242,-10.943,23.8791,4.18,0,-1.9,3
895,112.1,114.52,112.01,113.99,107.0547,1.0,-0.0439,0.1334,0.1774,55.4919,-10.0116,25.6331,2.37,0,-5.86,2
896,112.58,112.71,112.01,112.01,105.1951,1.0,-0.2239,-0.0355,0.1883,50.3282,-41.446000000000005,27.5538,0.06,0,-5.4,2
897,113.23,113.33,112.46,112.54,105.6929,1.0,-0.2934,-0.0491,0.2443,51.8226,-42.596000000000004,28.583000000000002,-1.58,0,-5.91,2
898,112.16,113.49,111.97,112.94,106.0686,1.0,-0.4373,-0.1197,0.3177,52.9239,-38.9397,29.9025,0.54,0,-3.39,3
899,112.26,113.24,111.66,111.78,104.9791,1.0,-0.6757,-0.2487,0.42700000000000005,50.0664,-49.543,31.3235,-3.22,0,-1.31,3
900,111.87,112.65,110.66,112.65,105.7962,1.0,-0.8876,-0.2917,0.5959,52.2763,-50.8083,32.7205,-2.84,0,-0.12,4
901,107.12,109.84,106.82,109.41,102.7533,1.0,-1.2487,-0.4309,0.8178,43.6796,-76.0274,33.9178,-6.52,1,4.23,6
902,106.37,110.16,106.26,106.745,100.2505,1.0,-1.4024,-0.2724,1.13,34.6948,-96.309,33.5404,-7.885,1,6.8,7
903,110.7,111.6,106.35,108.225,101.6404,1.0,-1.2754,0.2052,1.4806,37.8049,-86.0075,33.1341,-6.845,1,3.55,6
904,110.46,111.87,109.58,109.73,103.0539,1.0,-1.1384,0.6611,1.7995,41.3008,-96.3462,32.7206,-9.2,1,2.64,6
905,112.26,113.8,111.34,111.62,104.8289,1.0,-1.0039,1.0802,2.0841,46.2926,-78.1731,33.2516,-7.38,1,1.24,6
906,114.41,114.85,111.54,111.95,105.1388,1.0,-0.9281,1.4069,2.335,47.2179,-75.0,34.4887,-5.65,0,-0.16,4
907,110.19,114.3,109.35,114.12,107.1768,1.0,-0.7972,1.7699,2.5671,53.7818,-54.1346,35.9004,-4.505,0,-1.38,3
908,114.1,114.648,111.62,112.4,105.5614,1.0,-0.7799,1.9865,2.7664,48.513999999999996,-86.6745,37.1272,-4.07,0,-2.81,3
909,115.99,116.08,114.64,115.0,108.0032,1.0,-0.5522,2.4092,2.9613,57.7536,-56.0142,39.3353,-1.31,0,-7.75,2
910,115.77,117.2,115.29,115.49,108.4634,1.0,-0.4505,2.6489,3.0994,59.7448,-50.2358,41.4839,0.82,0,-6.82,2
911,115.75,116.35,115.11,115.93,108.8766,1.0,-0.3456,2.8664,3.2119999999999997,61.5133,-45.0472,43.4102,0.46,0,-5.82,2
912,113.5,115.75,112.75,114.63,107.6557,1.0,-0.2408,3.0576,3.2984,58.1117,-49.3256,45.8582,0.64,0,-2.83,3
913,118.81,119.25,111.27,115.07,108.069,1.0,0.0309,3.3895,3.3586,59.772,-41.2335,48.7637,0.89,0,-2.93,3
914,119.27,119.4,118.05,118.93,111.6941,1.0,0.3682,3.719,3.3509,77.9038,-7.2247,51.8927,6.11,0,-4.52,3
915,117.95,119.1,117.84,119.0,111.7599,1.0,0.4337,3.6925,3.2588,78.3038,-6.6079,50.0407,7.75,0,-6.2,2
916,119.1,119.75,117.45,117.6,110.445,1.0,0.4475,3.5978,3.1504,76.017,-17.9916,48.0952,7.9,0,-2.44,3
917,116.85,118.77,116.62,118.625,111.4077,1.0,0.5287,3.5672,3.0385,81.8848,-1.3218,46.0,9.795,0,-2.94,3
918,117.51,117.57,116.03,116.47,109.3838,1.0,0.4655,3.3719,2.9063,78.6705,-11.1675,43.8966,7.46,0,-0.51,4
919,114.91,116.86,114.85,116.31,109.2335,1.0,0.5029,3.2929,2.7899,78.4063,-10.1464,41.8384,7.61,0,-1.58,3
920,115.44,115.74,113.8,114.67,107.6933,1.0,0.4963,3.1605,2.6642,75.5209,-25.9186,39.7543,5.81,1,0.38,5
921,113.94,115.69,113.89,115.47,108.4446,1.0,0.5724,3.1125,2.5401,80.3864,-15.9051,37.7348,6.87,1,3.25,6
922,114.27,117.28,113.3,113.99,107.0547,1.0,0.5275,2.9246,2.397,77.9455,-28.9104,35.4697,4.59,1,4.71,6
923,113.15,114.19,113.05,114.18,107.2331,1.0,0.5276,2.7928,2.2652,79.1193,-0.1131,33.0303,6.18,1,3.21,6
924,111.8,113.45,111.6,112.82,105.9559,1.0,0.4314,2.5647,2.1333,76.7969,-7.2,31.0714,5.84,1,5.45,7
925,109.38,111.43,109.37,111.25,104.4814,1.0,0.3493,2.3747,2.0254,73.6561,-2.6087,29.1615,3.91,1,4.9,6
926,108.7,109.75,108.4,109.7,103.0257,1.0,0.3193,2.2574,1.9381,69.9239,-8.9955,27.7436,2.96,1,6.21,7
927,109.02,109.33,108.67,108.83,102.2086,1.0,0.3746,2.2328,1.8583,67.5261,-19.0909,26.903000000000002,3.72,1,5.48,7
928,108.75,109.32,108.55,109.01,102.3777,1.0,0.4929,2.2575,1.7646,68.5764,-14.2857,26.1919,3.79,1,6.07,7
929,108.6,108.79,107.8,108.7,102.0865,1.0,0.5964,2.2378,1.6414,67.7748,-13.245,25.4305,3.87,1,4.97,6
930,109.1,109.3,108.125,108.86,101.7966,1.0,0.7194,2.2117,1.4923,68.6137,-10.6746,24.8412,5.87,1,5.44,7
931,109.36,109.49,107.72,108.6,101.5535,1.0,0.8175,2.1299,1.3124,68.0164,-11.4171,23.9255,6.13,1,4.4,6
932,108.22,110.3,108.01,109.4,102.3016,1.0,0.9129999999999999,2.0211,1.1081,71.9276,-5.9524,22.9395,9.64,1,2.18,6
933,108.01,108.04,107.21,108.0,100.9924,1.0,0.8915,1.7713,0.8798,69.03399999999999,-0.311,21.6506,10.33,1,2.03,6
934,106.959,107.35,105.9,106.98,100.0386,1.0,0.9122,1.5692,0.6569,66.7127,-3.1993,21.1207,10.72,1,2.17,6
935,106.65,107.37,106.36,107.34,100.3753,1.0,0.9634,1.3923,0.4289,68.3929,-0.2461,20.8543,9.8,1,2.0,6
936,105.4,106.74,105.35,106.74,99.8142,1.0,0.9216,1.1096,0.188,67.111,-0.0,20.2274,7.99,1,2.27,6
937,104.85,105.48,104.7,105.11,98.29,1.0,0.8361,0.7938,-0.0424,63.3623,-3.6857,19.8104,5.3,1,3.51,6
938,105.18,105.49,104.53,105.22,98.3928,1.0,0.7964,0.545,-0.2514,63.8181,-2.6188,19.9113,4.49,1,3.16,6
939,104.08,105.051,103.63,104.83,98.0281,1.0,0.659,0.2084,-0.4505,62.9405,-2.2389,20.0201,3.81,1,4.27,6
940,102.84,104.11,102.6,102.99,96.3075,1.0,0.4308,-0.1845,-0.6153,58.5337,-12.542,20.3237,2.19,1,4.68,6
941,103.02,103.02,101.27,102.47,95.8213,1.0,0.2269,-0.496,-0.723,57.1981,-7.0153,21.0572,3.72,1,4.22,6
942,98.315,99.96,98.22,99.76,93.2871,1.0,-0.0538,-0.8334,-0.7797,49.2946,-36.3889,22.3455,0.14,1,7.09,7
943,97.5,99.0,96.81,97.67,91.3327,1.0,-0.2098,-0.9761,-0.7662,41.5677,-65.4167,22.6766,-1.95,1,8.48,7
944,95.55,97.72,95.41,96.26,90.0142,1.0,-0.2173,-0.9311,-0.7138,35.4008,-85.0,22.3703,-3.64,1,8.28,7
945,97.97,99.15,95.18,97.54,91.2111,1.0,-0.0572,-0.7167,-0.6595,38.8578,-67.2222,21.0722,-1.64,1,7.18,7
946,100.39,100.52,98.57,98.75,92.3426,1.0,0.0823,-0.5628,-0.6451,42.5009,-77.89699999999999,19.6742,-2.0,1,5.69,7
947,101.33,101.78,99.81,99.81,93.3338,1.0,0.1842,-0.4815,-0.6657,46.0099,-59.2593,19.5406,-0.3,1,2.97,6
948,100.69,102.03,100.3,100.73,94.1942,1.0,0.2332,-0.4786,-0.7118,49.2896,-42.3372,20.0662,-0.02,1,1.63,6
949,101.54,102.38,100.61,101.02,94.4653,1.0,0.2085,-0.5616,-0.7701,50.3399,-36.7816,20.9167,3.15,0,-1.18,3
950,98.76,101.11,98.31,100.8,94.2596,1.0,0.1333,-0.6889,-0.8222,49.5831,-40.9962,22.0112,-0.95,0,-2.93,3
951,99.43,100.12,98.73,98.75,92.3426,1.0,0.0365,-0.8190000000000001,-0.8555,41.9252,-80.2682,22.3076,-3.89,0,-2.33,3
952,99.95,100.65,99.42,99.62,93.1562,1.0,0.1002,-0.7644,-0.8646,44.5945,-63.6015,21.8596,-1.44,0,-1.95,3
953,99.44,100.21,99.04,99.62,93.1562,1.0,0.1175,-0.7722,-0.8897,44.5945,-63.6015,21.6967,-1.34,0,-0.81,4
954,99.27,100.22,98.04,99.9,93.41799999999999,1.0,0.1482,-0.7709,-0.9191,45.3966,-59.0994,21.1833,-1.89,0,-0.08,4
955,100.59,100.69,98.7,99.18,92.7447,1.0,0.1696,-0.7865,-0.9561,42.9464,-72.6079,20.6305,-2.4,1,1.45,6
956,100.81,101.54,100.53,100.75,94.2129,1.0,0.2769,-0.7217,-0.9985,47.2384,-43.152,20.2998,-0.11,1,0.25,5
